song_name,artist_name,album_name,thumbnail,link,queryname
More Than You Know,Axwell /\ Ingrosso,More Than You Know,https://i.scdn.co/image/ab67616d0000b273fba6de0b38b0168d480b1a27,https://www.youtube.com/watch?v=GsF05B8TFWg,More Than You Know by Axwell /\ Ingrosso
Arcade,Duncan Laurence,Small Town Boy,https://i.scdn.co/image/ab67616d0000b2731b55c3257d316d184d641800,https://www.youtube.com/watch?v=51u5fnyrGj4,Arcade by Duncan Laurence
Shivers,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://www.youtube.com/watch?v=Il0S8BoucSA,Shivers by Ed Sheeran
Youngblood,5 Seconds of Summer,Youngblood (Deluxe),https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557,https://www.youtube.com/watch?v=-RJSbO8UZVY,Youngblood by 5 Seconds of Summer
Physical,Dua Lipa,Future Nostalgia,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,https://www.youtube.com/watch?v=9HDEHj2yzew,Physical by Dua Lipa
hot girl bummer,blackbear,everything means nothing,https://i.scdn.co/image/ab67616d0000b273e9b6f26ff354f4d70847f02d,https://www.youtube.com/watch?v=5cPW0ggFq04,hot girl bummer by blackbear
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],https://i.scdn.co/image/ab67616d0000b27323852b7ef0ecfe29d38d97ee,https://www.youtube.com/watch?v=tt2k8PGm-TI,Dusk Till Dawn (feat. Sia) - Radio Edit by ZAYN
Bad Habits,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://www.youtube.com/watch?v=orJSJGHjBLI,Bad Habits by Ed Sheeran
ラヴァーズ,7!!,Anipps,https://i.scdn.co/image/ab67616d0000b2733dfa792536844032b9561aea,https://www.youtube.com/watch?v=MF8kHWWFO10,ラヴァーズ by 7!!
The Beginning,ONE OK ROCK,JINSEI KAKETE BOKU WA,https://i.scdn.co/image/ab67616d0000b273cff66b3375bbeb03c6c214a0,https://www.youtube.com/watch?v=Hh9yZWeTmVM,The Beginning by ONE OK ROCK
よふかしのうた,Creepy Nuts,よふかしのうた,https://i.scdn.co/image/ab67616d0000b273b1628bf435524206e5efa612,https://www.youtube.com/watch?v=F6_zbnfxoBA,よふかしのうた by Creepy Nuts
堕天,Creepy Nuts,堕天,https://i.scdn.co/image/ab67616d0000b27351c697da13ab218a493fb964,https://www.youtube.com/watch?v=LoO_AJD_KCc,堕天 by Creepy Nuts
ロスタイム,Creepy Nuts,アンサンブル・プレイ,https://i.scdn.co/image/ab67616d0000b27318285df0b7581a0fcc806afc,https://www.youtube.com/watch?v=O6WjVGEVbNc,ロスタイム by Creepy Nuts
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,Just Lose It,https://i.scdn.co/image/ab67616d0000b273b6ef2ebd34efb08cb76f6eec,https://www.youtube.com/watch?v=_Yhyp-_hX2s,"Lose Yourself - From ""8 Mile"" Soundtrack by Eminem"
When I'm Gone,Eminem,When I'm Gone,https://i.scdn.co/image/ab67616d0000b273e7eb779a71e61702561a5e78,https://www.youtube.com/watch?v=1wYNFfgrXTI,When I'm Gone by Eminem
Side To Side,Ariana Grande,Dangerous Woman,https://i.scdn.co/image/ab67616d0000b27333342c57a9b2c4e04c97b3f5,https://www.youtube.com/watch?v=SXiSVQZLje8,Side To Side by Ariana Grande
Dangerous Woman,Ariana Grande,Dangerous Woman,https://i.scdn.co/image/ab67616d0000b27333342c57a9b2c4e04c97b3f5,https://www.youtube.com/watch?v=9WbCfHutDSE,Dangerous Woman by Ariana Grande
River (feat. Ed Sheeran),Eminem,Revival,https://i.scdn.co/image/ab67616d0000b273dee6b58d35215322626b5701,https://www.youtube.com/watch?v=wfWIs2gFTAM,River (feat. Ed Sheeran) by Eminem
Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission,https://i.scdn.co/image/ab67616d0000b2739f55dad3a63f72f1bc8d6f59,https://www.youtube.com/watch?v=YqeW9_5kURI,Lean On (feat. MØ & DJ Snake) by Major Lazer
7 rings,Ariana Grande,"thank u, next",https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,https://www.youtube.com/watch?v=QYh6mYIJG2Y,7 rings by Ariana Grande
I Mean It (feat. Remo),G-Eazy,These Things Happen,https://i.scdn.co/image/ab67616d0000b273bdfe4efd674482cf5ac88c99,https://www.youtube.com/watch?v=CxnaPa8ohmM,I Mean It (feat. Remo) by G-Eazy
"Shell Shocked (feat. Kill the Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""",Juicy J,"Shell Shocked (feat. Kill the Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""]",https://i.scdn.co/image/ab67616d0000b273abe98b7f16e9daf02961a180,https://www.youtube.com/watch?v=BaACrT6Ydik,"Shell Shocked (feat. Kill the Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles"" by Juicy J"
Rockabye (feat. Anne-Marie) - Recorded at Spotify Studios NYC,Clean Bandit,Spotify Singles,https://i.scdn.co/image/ab67616d0000b2736f425cfeaabcb6bcc543d315,https://www.youtube.com/watch?v=papuvlVeZg8,Rockabye (feat. Anne-Marie) - Recorded at Spotify Studios NYC by Clean Bandit
the AUDACITY,emlyn,loneliest b!tch in america,https://i.scdn.co/image/ab67616d0000b2737229450c36894b981f2f56a5,https://www.youtube.com/watch?v=GypwKj9Afqo,the AUDACITY by emlyn
you make a woman wanna...,emlyn,loneliest b!tch in america,https://i.scdn.co/image/ab67616d0000b2737229450c36894b981f2f56a5,https://www.youtube.com/watch?v=OLVjZOzBMKQ,you make a woman wanna... by emlyn
temporary funeral,emlyn,loneliest b!tch in america,https://i.scdn.co/image/ab67616d0000b2737229450c36894b981f2f56a5,https://www.youtube.com/watch?v=zo74eQmqTXY,temporary funeral by emlyn
plot line,emlyn,plot line,https://i.scdn.co/image/ab67616d0000b2732e073e1d11daae110e4bb5fb,https://www.youtube.com/watch?v=KRC4SHOsbbc,plot line by emlyn
my best friend's ex,emlyn,my best friend's ex,https://i.scdn.co/image/ab67616d0000b2731f187ed8e50ab58be84e5aee,https://www.youtube.com/watch?v=BJEGBmxAoAE,my best friend's ex by emlyn
B.O.M.B.,emlyn,confessions of a drama queen,https://i.scdn.co/image/ab67616d0000b2738a8721deaad7583127b0fe58,https://www.youtube.com/watch?v=i0vs9xaKdUE,B.O.M.B. by emlyn
rapunzel,emlyn,loneliest b!tch in america,https://i.scdn.co/image/ab67616d0000b2737229450c36894b981f2f56a5,https://www.youtube.com/watch?v=UO8qkmXDf5g,rapunzel by emlyn
Bejeweled,Taylor Swift,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,https://www.youtube.com/watch?v=b7QlX3yR2xs,Bejeweled by Taylor Swift
Midnight Rain,Taylor Swift,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,https://www.youtube.com/watch?v=Odh9ddPUkEY,Midnight Rain by Taylor Swift
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,https://www.youtube.com/watch?v=ycE7bUq3-2k,Snow On The Beach (feat. Lana Del Rey) by Taylor Swift
Maroon,Taylor Swift,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,https://www.youtube.com/watch?v=lvHZjvIyqsk,Maroon by Taylor Swift
Lavender Haze,Taylor Swift,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,https://www.youtube.com/watch?v=mkR_Qwix4Ho,Lavender Haze by Taylor Swift
Unstoppable,Sia,This Is Acting (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,https://www.youtube.com/watch?v=YaEG2aWJnZ8,Unstoppable by Sia
Mistake,Stellar,Mistake,https://i.scdn.co/image/ab67616d0000b273cd528f78bf62b736cb8d8b10,https://www.youtube.com/watch?v=ITqnvNoNJXo,Mistake by Stellar
Ashes,Stellar,Ashes,https://i.scdn.co/image/ab67616d0000b2730db4898026f2f0d478abf0e7,https://www.youtube.com/watch?v=wH3JmLBOnMU,Ashes by Stellar
Beggin',Måneskin,Chosen,https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045,https://www.youtube.com/watch?v=id6l1nMqpvc,Beggin' by Måneskin
I WANNA BE YOUR SLAVE,Måneskin,Teatro d'ira - Vol. I,https://i.scdn.co/image/ab67616d0000b2735aa05015cfa7bd2943c29b21,https://www.youtube.com/watch?v=yOb9Xaug35M,I WANNA BE YOUR SLAVE by Måneskin
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,https://www.youtube.com/watch?v=DkeiKbqa02g,One Kiss (with Dua Lipa) by Calvin Harris
Bite Me,Avril Lavigne,Love Sux,https://i.scdn.co/image/ab67616d0000b273dcb20af72a164e4b265cf89b,https://www.youtube.com/watch?v=ciqUEV9F0OY,Bite Me by Avril Lavigne
Love Sux – Spotify Singles,Avril Lavigne,Spotify Singles,https://i.scdn.co/image/ab67616d0000b273dee7448eabc9cc917158d471,https://www.youtube.com/watch?v=jtdoS9Rb-Yg,Love Sux – Spotify Singles by Avril Lavigne
girl’s girl - Spotify Singles,emlyn,girl’s girl - Spotify Singles,https://i.scdn.co/image/ab67616d0000b2731888ae343895c22f9c04ab37,https://www.youtube.com/watch?v=F7Tcwi2_DW8,girl’s girl - Spotify Singles by emlyn
Karma,Taylor Swift,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://www.youtube.com/watch?v=rg18Kf4en2o,Karma by Taylor Swift
Question...?,Taylor Swift,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://www.youtube.com/watch?v=xxrf_QBD5DE,Question...? by Taylor Swift
Lavender Haze,Taylor Swift,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://www.youtube.com/watch?v=mkR_Qwix4Ho,Lavender Haze by Taylor Swift
Midnight Rain,Taylor Swift,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://www.youtube.com/watch?v=Odh9ddPUkEY,Midnight Rain by Taylor Swift
Anti-Hero,Taylor Swift,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://www.youtube.com/watch?v=b1kbLwvqugk,Anti-Hero by Taylor Swift
Vigilante Shit,Taylor Swift,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,https://www.youtube.com/watch?v=Uoey4W_3bos,Vigilante Shit by Taylor Swift
Exist,MOB CHOIR,1,https://i.scdn.co/image/ab67616d0000b273fa258c01a71b49856db475dc,https://www.youtube.com/watch?v=UvnI1Sk5w2w,Exist by MOB CHOIR
1,MOB CHOIR,1,https://i.scdn.co/image/ab67616d0000b273fa258c01a71b49856db475dc,https://www.youtube.com/watch?v=xRIOnDruOZM,1 by MOB CHOIR
KICK BACK,Kenshi Yonezu,KICK BACK,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,https://www.youtube.com/watch?v=M2cckDmNLMI,KICK BACK by Kenshi Yonezu
Nightmare,Halsey,Nightmare,https://i.scdn.co/image/ab67616d0000b2730db100d30d1ef9a91aefeabf,https://www.youtube.com/watch?v=Q_dqfcvTZik,Nightmare by Halsey
Don’t Blame Me,Taylor Swift,reputation,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,https://www.youtube.com/watch?v=kRJKB291Z1g,Don’t Blame Me by Taylor Swift
Crown,Rustage,Crown,https://i.scdn.co/image/ab67616d0000b2730d9fa163d0d59b1c90123e4c,https://www.youtube.com/watch?v=Y0dWfzl6EZQ,Crown by Rustage
The Hero / One-Punch Man - Japanese,Rob Lundgren,"Covers the World, Vol. 3",https://i.scdn.co/image/ab67616d0000b2734904d32fa5bde6870f80ae93,https://www.youtube.com/watch?v=pmvMRss4m7E,The Hero / One-Punch Man - Japanese by Rob Lundgren
Burst The Gravity,Altima,Burst The Gravity,https://i.scdn.co/image/ab67616d0000b273db2dcd9fc647dbcbc4bf99af,https://www.youtube.com/watch?v=Qn8dJA3WM3M,Burst The Gravity by Altima
Fight 4 Real,Altima,Fight 4 Real,https://i.scdn.co/image/ab67616d0000b27356308c2f3c67e3fb8b9e10fc,https://www.youtube.com/watch?v=bk6GlYshgmw,Fight 4 Real by Altima
Immortals,Fall Out Boy,American Beauty/American Psycho,https://i.scdn.co/image/ab67616d0000b2733cf1c1dbcfa3f1ab7282719b,https://www.youtube.com/watch?v=l9PxOanFjxQ,Immortals by Fall Out Boy
Who Do You Love,The Chainsmokers,World War Joy,https://i.scdn.co/image/ab67616d0000b2735e90ff76fd49a23f7333de76,https://www.youtube.com/watch?v=U0V1y2p1sgs,Who Do You Love by The Chainsmokers
Teeth,5 Seconds of Summer,13 Reasons Why (Season 3),https://i.scdn.co/image/ab67616d0000b27325a1320532b730a8d42a9915,https://www.youtube.com/watch?v=JWeJHN5P-E8,Teeth by 5 Seconds of Summer
Selfish,RIELL,Selfish,https://i.scdn.co/image/ab67616d0000b273986f244ba95b6ae982ba41e3,https://www.youtube.com/watch?v=W0FfOC23_sE,Selfish by RIELL
Go Cry Go,Romix,Go Cry Go,https://i.scdn.co/image/ab67616d0000b273f7b6559c489718295a47de7f,https://www.youtube.com/watch?v=7f0JVbWzepM,Go Cry Go by Romix
Take Over,League of Legends,Take Over,https://i.scdn.co/image/ab67616d0000b273502d648ada3474ab82c18f1d,https://www.youtube.com/watch?v=KbNL9ZyB49c,Take Over by League of Legends
STRIKE THE BLOOD,KISIDA KYODAN & THE AKEBOSI ROCKETS,STRIKE THE BLOOD,https://i.scdn.co/image/ab67616d0000b273c21ae9a91a546e106b39b77f,https://www.youtube.com/watch?v=4L8CmEuCiAI,STRIKE THE BLOOD by KISIDA KYODAN & THE AKEBOSI ROCKETS
End It,RIELL,End It,https://i.scdn.co/image/ab67616d0000b273531cd18844e8759dde13bed0,https://www.youtube.com/watch?v=YCKfg6kHKTg,End It by RIELL
Gasoline,Halsey,BADLANDS (Deluxe),https://i.scdn.co/image/ab67616d0000b27374fefed78db6d6cf4d963fdc,https://www.youtube.com/watch?v=zRHNi3QfFlE,Gasoline by Halsey
セルフロンティア,ASCA,百歌繚乱,https://i.scdn.co/image/ab67616d0000b273ffae792c628ae7b7ee281121,https://www.youtube.com/watch?v=JE9RhGz2CDQ,セルフロンティア by ASCA
RiGHT NOW,EMPiRE,the GREAT JOURNEY ALBUM,https://i.scdn.co/image/ab67616d0000b273788c825b08428fc620189152,https://www.youtube.com/watch?v=SD0LHSjpBNQ,RiGHT NOW by EMPiRE
BLESS YoUr NAME,ChouCho,ChouCho ColleCtion ”bouquet”,https://i.scdn.co/image/ab67616d0000b273be7f35722a2ed1b2108e9b01,https://www.youtube.com/watch?v=XZwtQL9egCQ,BLESS YoUr NAME by ChouCho
Queen,Loren Gray,Queen,https://i.scdn.co/image/ab67616d0000b273b1f28bbbca75aecc31bdd306,https://www.youtube.com/watch?v=heWXn4S6ElM,Queen by Loren Gray
High for Me (feat. Kid Ink),Olivia Noelle,High for Me (feat. Kid Ink),https://i.scdn.co/image/ab67616d0000b27346571d89e185f2e74a74df92,https://www.youtube.com/watch?v=S1c6eOZZbxE,High for Me (feat. Kid Ink) by Olivia Noelle
"The Edge of Dawn (from ""Fire Emblem: Three Houses"")",AmaLee,"Total Coverage, Vol. 6",https://i.scdn.co/image/ab67616d0000b2736b5dfec2a5049cfec31a83be,https://www.youtube.com/watch?v=F6dUs3sSWYU,"The Edge of Dawn (from ""Fire Emblem: Three Houses"") by AmaLee"
Gospel of the Throttle,Dima Lancaster,Gospel of the Throttle,https://i.scdn.co/image/ab67616d0000b27300b02486d14d96be61532a69,https://www.youtube.com/watch?v=HoCv7FKiPbM,Gospel of the Throttle by Dima Lancaster
End Of The Night,Danny Avila,End Of The Night,https://i.scdn.co/image/ab67616d0000b273c27d89fa8abb3990e2b3a29c,https://www.youtube.com/watch?v=GvB3OzTicQo,End Of The Night by Danny Avila
Awakened,LEC,Awakened,https://i.scdn.co/image/ab67616d0000b2738a3a0c7c86e4f85c20628aa5,https://www.youtube.com/watch?v=e1J1U4bk2sw,Awakened by LEC
Legends Never Die - (Remix),League of Legends,Legends Never Die (Remix),https://i.scdn.co/image/ab67616d0000b2731578debc0e6bb047dd20a02b,https://www.youtube.com/watch?v=eEKfWVvADiQ,Legends Never Die - (Remix) by League of Legends
Playground (from the series Arcane League of Legends),Bea Miller,Playground (from the series Arcane League of Legends),https://i.scdn.co/image/ab67616d0000b27342a8ac055d1b28af6e12d2ff,https://www.youtube.com/watch?v=3jfI-z__GY0,Playground (from the series Arcane League of Legends) by Bea Miller
Warriors,League of Legends,Warriors,https://i.scdn.co/image/ab67616d0000b273f8fa082806184fcb032d8e0a,https://www.youtube.com/watch?v=aR-KAldshAE,Warriors by League of Legends
Get Jinxed,League of Legends,The Music of League of Legends Vol. 1,https://i.scdn.co/image/ab67616d0000b273e79c051bb5ccb3934b4ca42b,https://www.youtube.com/watch?v=0nlJuwO0GDs,Get Jinxed by League of Legends
GIANTS,True Damage,GIANTS,https://i.scdn.co/image/ab67616d0000b2731fc75f57743e314747fdf5b0,https://www.youtube.com/watch?v=sVZpHFXcFJw,GIANTS by True Damage
Phoenix,League of Legends,Phoenix,https://i.scdn.co/image/ab67616d0000b273a91543c0ec0301cca07792dc,https://www.youtube.com/watch?v=i1IKnWDecwA,Phoenix by League of Legends
THE BADDEST,K/DA,THE BADDEST,https://i.scdn.co/image/ab67616d0000b2737158ec602fe6e8165cae6091,https://www.youtube.com/watch?v=RkID8_gnTxw,THE BADDEST by K/DA
RISE,League of Legends,RISE,https://i.scdn.co/image/ab67616d0000b273304ae5169ad8e53e261b93f2,https://www.youtube.com/watch?v=fB8TyLTD7EE,RISE by League of Legends
POP/STARS,K/DA,POP/STARS,https://i.scdn.co/image/ab67616d0000b273d1241debb8543af8322a7d6a,https://www.youtube.com/watch?v=UOxkGD8qRB4,POP/STARS by K/DA
No Way,JRL,No Way,https://i.scdn.co/image/ab67616d0000b273d7c3ba58f25b4a90d4325f6a,https://www.youtube.com/watch?v=sJcHOgZ4zhk,No Way by JRL
gravityWall,SawanoHiroyuki[nZk],2V-Alk,https://i.scdn.co/image/ab67616d0000b273fd8926068a7653ec35908f19,https://www.youtube.com/watch?v=XuZGlkYCftA,gravityWall by SawanoHiroyuki[nZk]
Go Cry Go (Overlord) [feat. Romi],Mattyyym,Go Cry Go (Overlord) [feat. Romi],https://i.scdn.co/image/ab67616d0000b273dda7e4437597d923597fa404,https://www.youtube.com/watch?v=mQ9mWgb2GwQ,Go Cry Go (Overlord) [feat. Romi] by Mattyyym
The River,Axel Johansson,The River,https://i.scdn.co/image/ab67616d0000b273f9ca285762f57fb7366d1f45,https://www.youtube.com/watch?v=6Ai0XF9isk4,The River by Axel Johansson
Burn It All Down,League of Legends,Burn It All Down,https://i.scdn.co/image/ab67616d0000b27362b4ad8a3803bfb2f2d28f41,https://www.youtube.com/watch?v=1Z6CHioIn3s,Burn It All Down by League of Legends
ASH,LiSA,ASH,https://i.scdn.co/image/ab67616d0000b273d6ed085c6d5b657c8193f6b2,https://www.youtube.com/watch?v=nv9lr6pOeOQ,ASH by LiSA
Battlefield,Jordin Sparks,Battlefield,https://i.scdn.co/image/ab67616d0000b273871e96e53bac144057add8db,https://www.youtube.com/watch?v=suPlYwJ3YvM,Battlefield by Jordin Sparks
Boy,Reol,THE SIXTH SENSE,https://i.scdn.co/image/ab67616d0000b273023644d6f9d334443e4070c9,https://www.youtube.com/watch?v=O4oixjzvrZk,Boy by Reol
Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,https://www.youtube.com/watch?v=Jwgf3wmiA04,Drag Me Down by One Direction
NAMELY,UVERworld,30,https://i.scdn.co/image/ab67616d0000b2730fcd27406932d141425ed581,https://www.youtube.com/watch?v=4fhu65U5qU8,NAMELY by UVERworld
Can You Sleep At Night,Dima Lancaster,Can You Sleep At Night,https://i.scdn.co/image/ab67616d0000b273176c4ec6c3f1fbf85734118e,https://www.youtube.com/watch?v=odHzEr83q2Q,Can You Sleep At Night by Dima Lancaster
Crossed The Line,Vosai,Crossed The Line,https://i.scdn.co/image/ab67616d0000b273d8668eb8770a4154f49e7a2e,https://www.youtube.com/watch?v=lS0_Ah5ruYA,Crossed The Line by Vosai
I'm A Monster,Lucha,I'm A Monster,https://i.scdn.co/image/ab67616d0000b273c587955484d9127796d0516b,https://www.youtube.com/watch?v=3kZqlOpDeVc,I'm A Monster by Lucha
VILLAIN,K/DA,ALL OUT,https://i.scdn.co/image/ab67616d0000b273f2bf9685109a09bdc176fb43,https://www.youtube.com/watch?v=xoWxv2yZXLQ,VILLAIN by K/DA
Come & Go (with Marshmello),Juice WRLD,Legends Never Die,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,https://www.youtube.com/watch?v=Dxm3cHrKcbA,Come & Go (with Marshmello) by Juice WRLD
99.9,MOB CHOIR,99.9,https://i.scdn.co/image/ab67616d0000b2735c14224257fe52a53ed23337,https://www.youtube.com/watch?v=GiwpMw_Up_Y,99.9 by MOB CHOIR
Radioactive Mother (Lover),Smash Into Pieces,Radioactive Mother (Lover),https://i.scdn.co/image/ab67616d0000b2737eeeefdc3706e725cd7583ce,https://www.youtube.com/watch?v=1mbn96-sses,Radioactive Mother (Lover) by Smash Into Pieces
Real One,Smash Into Pieces,A New Horizon,https://i.scdn.co/image/ab67616d0000b273119db6e538822a6b39386db0,https://www.youtube.com/watch?v=p26M-fNXjXc,Real One by Smash Into Pieces
Vanguard,Smash Into Pieces,Vanguard,https://i.scdn.co/image/ab67616d0000b273a3365955049929c5f61270a4,https://www.youtube.com/watch?v=gXcjnQiNpuE,Vanguard by Smash Into Pieces
逆境スペクトル,ASCA,君が見た夢の物語,https://i.scdn.co/image/ab67616d0000b27389ff51dca67e02b919c0da62,https://www.youtube.com/watch?v=kv4UK5UKkjo,逆境スペクトル by ASCA
Throne,Smash Into Pieces,Throne,https://i.scdn.co/image/ab67616d0000b27302d45ed91e80f93a6aa4b118,https://www.youtube.com/watch?v=nQpySdJnr6I,Throne by Smash Into Pieces
Soul salvation,Megumi Hayashibara,Soul salvation,https://i.scdn.co/image/ab67616d0000b273d6c4d6726a95f56cf7665696,https://www.youtube.com/watch?v=Y0z_2C2LFfE,Soul salvation by Megumi Hayashibara
Stronger,Smash Into Pieces,The Apocalypse DJ,https://i.scdn.co/image/ab67616d0000b273a64188552a56664b1f39c236,https://www.youtube.com/watch?v=5n6RoXsrQ84,Stronger by Smash Into Pieces
Boomerang,Smash Into Pieces,Boomerang,https://i.scdn.co/image/ab67616d0000b273ba800cf7b59fd974c09cb777,https://www.youtube.com/watch?v=iUyHv3iKBYA,Boomerang by Smash Into Pieces
My Life Is Going On (Música Original De La Serie De TV La Casa De Papel / Money Heist),Cecilia Krull,My Life Is Going On (Música Original De La Serie De TV La Casa De Papel / Money Heist),https://i.scdn.co/image/ab67616d0000b2733e3a37a2c68382b4cabe981b,https://www.youtube.com/watch?v=ehZFyxRbyd0,My Life Is Going On (Música Original De La Serie De TV La Casa De Papel / Money Heist) by Cecilia Krull
Royalty,Egzod,Royalty,https://i.scdn.co/image/ab67616d0000b27375f8e991774621da2bf53a14,https://www.youtube.com/watch?v=C5fLxtJH2Qs,Royalty by Egzod
No Rival,Egzod,No Rival,https://i.scdn.co/image/ab67616d0000b273dfad815fbe7ae1d6cd433136,https://www.youtube.com/watch?v=KbC5_JEhqL8,No Rival by Egzod
BOO HOO,Neoni,BOO HOO,https://i.scdn.co/image/ab67616d0000b273a1947f323c1b627d7874e2fa,https://www.youtube.com/watch?v=8zx6E0XvZiE,BOO HOO by Neoni
Leave Me Alone,NF,The Search,https://i.scdn.co/image/ab67616d0000b273942a0c9ac8f1def7c8805044,https://www.youtube.com/watch?v=XGGWhOUYObc,Leave Me Alone by NF
Echo,THE BOYZ,"Echo [From ""Solo Leveling"" (Original Soundtrack)]",https://i.scdn.co/image/ab67616d0000b2735f029954e54f7cf7312857e2,https://www.youtube.com/watch?v=6UqISByUUP8,Echo by THE BOYZ
Broken Sky,富田美憂,Prologue,https://i.scdn.co/image/ab67616d0000b273920ac2515a41f6c6529f6cd9,https://www.youtube.com/watch?v=DXL7xIqytMU,Broken Sky by 富田美憂
OveR,富田美憂,OveR,https://i.scdn.co/image/ab67616d0000b2730d0a17bf8313a1d528ff09b9,https://www.youtube.com/watch?v=_eofMwUdn7U,OveR by 富田美憂
Eastside (with Halsey & Khalid),benny blanco,FRIENDS KEEP SECRETS,https://i.scdn.co/image/ab67616d0000b273693dbf001d5b2d06ad9e5f4d,https://www.youtube.com/watch?v=56WBK4ZK_cw,Eastside (with Halsey & Khalid) by benny blanco
Be Kind (with Halsey),Marshmello,Be Kind (with Halsey),https://i.scdn.co/image/ab67616d0000b273fdf2e993e10e67396b3bf759,https://www.youtube.com/watch?v=ePao0cTGG-o,Be Kind (with Halsey) by Marshmello
